map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
random-64-64-10,1,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,1,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,1,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,1,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,1,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,2,5,BBMOCBS_k1,5,142,369,142,369,1
random-64-64-10,2,5,BBMOCBS_k5,5,142,369,140,360,0
random-64-64-10,2,5,BBMOCBS_k10,5,142,369,140,356,0
random-64-64-10,2,5,BBMOCBS_pex,5,142,369,,,0
random-64-64-10,2,5,BBMOCBS_eps,5,142,369,,,0
random-64-64-10,3,5,BBMOCBS_k1,5,176,411,176,411,1
random-64-64-10,3,5,BBMOCBS_k5,5,176,411,176,394,0
random-64-64-10,3,5,BBMOCBS_k10,5,176,411,176,394,0
random-64-64-10,3,5,BBMOCBS_pex,5,176,411,,,0
random-64-64-10,3,5,BBMOCBS_eps,5,176,411,,,0
random-64-64-10,4,5,BBMOCBS_k1,5,208,519,208,519,1
random-64-64-10,4,5,BBMOCBS_k5,5,208,519,206,481,0
random-64-64-10,4,5,BBMOCBS_k10,5,208,519,206,479,0
random-64-64-10,4,5,BBMOCBS_pex,5,208,519,,,0
random-64-64-10,4,5,BBMOCBS_eps,5,208,519,,,0
random-64-64-10,5,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,5,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,5,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,5,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,5,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,6,5,BBMOCBS_k1,5,235,546,235,546,1
random-64-64-10,6,5,BBMOCBS_k5,5,235,546,235,517,0
random-64-64-10,6,5,BBMOCBS_k10,5,235,546,235,517,0
random-64-64-10,6,5,BBMOCBS_pex,5,235,546,,,0
random-64-64-10,6,5,BBMOCBS_eps,5,235,546,,,0
random-64-64-10,7,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,7,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,7,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,7,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,7,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,8,5,BBMOCBS_k1,5,214,528,214,528,1
random-64-64-10,8,5,BBMOCBS_k5,5,214,528,214,502,0
random-64-64-10,8,5,BBMOCBS_k10,5,214,528,214,501,0
random-64-64-10,8,5,BBMOCBS_pex,5,214,528,,,0
random-64-64-10,8,5,BBMOCBS_eps,5,214,528,,,0
random-64-64-10,9,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,9,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,9,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,9,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,9,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,10,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,10,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,10,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,10,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,10,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,11,5,BBMOCBS_k1,5,200,483,200,483,1
random-64-64-10,11,5,BBMOCBS_k5,5,200,483,194,485,0
random-64-64-10,11,5,BBMOCBS_k10,5,200,483,194,477,0
random-64-64-10,11,5,BBMOCBS_pex,5,200,483,,,0
random-64-64-10,11,5,BBMOCBS_eps,5,200,483,,,0
random-64-64-10,12,5,BBMOCBS_k1,5,189,458,189,458,1
random-64-64-10,12,5,BBMOCBS_k5,5,189,458,189,431,0
random-64-64-10,12,5,BBMOCBS_k10,5,189,458,189,425,0
random-64-64-10,12,5,BBMOCBS_pex,5,189,458,,,0
random-64-64-10,12,5,BBMOCBS_eps,5,189,458,,,0
random-64-64-10,13,5,BBMOCBS_k1,5,163,388,163,388,1
random-64-64-10,13,5,BBMOCBS_k5,5,163,388,161,377,0
random-64-64-10,13,5,BBMOCBS_k10,5,163,388,161,376,0
random-64-64-10,13,5,BBMOCBS_pex,5,163,388,,,0
random-64-64-10,13,5,BBMOCBS_eps,5,163,388,,,0
random-64-64-10,14,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,14,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,14,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,14,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,14,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,15,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,15,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,15,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,15,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,15,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,16,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,16,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,16,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,16,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,16,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,17,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,17,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,17,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,17,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,17,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,18,5,BBMOCBS_k1,5,127,331,127,331,1
random-64-64-10,18,5,BBMOCBS_k5,5,127,331,127,314,0
random-64-64-10,18,5,BBMOCBS_k10,5,127,331,127,313,0
random-64-64-10,18,5,BBMOCBS_pex,5,127,331,,,0
random-64-64-10,18,5,BBMOCBS_eps,5,127,331,,,0
random-64-64-10,19,5,BBMOCBS_k1,5,171,439,171,439,1
random-64-64-10,19,5,BBMOCBS_k5,5,171,439,171,388,0
random-64-64-10,19,5,BBMOCBS_k10,5,171,439,171,394,0
random-64-64-10,19,5,BBMOCBS_pex,5,171,439,,,0
random-64-64-10,19,5,BBMOCBS_eps,5,171,439,,,0
random-64-64-10,20,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,20,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,20,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,20,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,20,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,21,5,BBMOCBS_k1,5,219,502,219,502,1
random-64-64-10,21,5,BBMOCBS_k5,5,219,502,219,478,0
random-64-64-10,21,5,BBMOCBS_k10,5,219,502,219,478,0
random-64-64-10,21,5,BBMOCBS_pex,5,219,502,,,0
random-64-64-10,21,5,BBMOCBS_eps,5,219,502,,,0
random-64-64-10,22,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,22,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,22,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,22,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,22,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,23,5,BBMOCBS_k1,5,,,234,568,0
random-64-64-10,23,5,BBMOCBS_k5,5,,,232,536,0
random-64-64-10,23,5,BBMOCBS_k10,5,,,232,530,0
random-64-64-10,23,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,23,5,BBMOCBS_eps,5,,,,,0
random-64-64-10,24,5,BBMOCBS_k1,5,182,451,182,451,1
random-64-64-10,24,5,BBMOCBS_k5,5,182,451,182,426,0
random-64-64-10,24,5,BBMOCBS_k10,5,182,451,182,419,0
random-64-64-10,24,5,BBMOCBS_pex,5,182,451,,,0
random-64-64-10,24,5,BBMOCBS_eps,5,182,451,,,0
random-64-64-10,25,5,BBMOCBS_k1,5,,,,,0
random-64-64-10,25,5,BBMOCBS_k5,5,,,,,0
random-64-64-10,25,5,BBMOCBS_k10,5,,,,,0
random-64-64-10,25,5,BBMOCBS_pex,5,,,,,0
random-64-64-10,25,5,BBMOCBS_eps,5,,,,,0
