map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
random-32-32-20,1,60,BBMOCBS_k1,5,132,346,132,346,1
random-32-32-20,1,60,BBMOCBS_k5,5,132,346,132,342,0
random-32-32-20,1,60,BBMOCBS_k10,5,132,346,132,330,0
random-32-32-20,1,60,BBMOCBS_pex,5,132,346,,,0
random-32-32-20,1,60,BBMOCBS_eps,5,132,346,,,0
random-32-32-20,2,60,BBMOCBS_k1,5,82,194,82,194,1
random-32-32-20,2,60,BBMOCBS_k5,5,82,194,82,192,0
random-32-32-20,2,60,BBMOCBS_k10,5,82,194,82,192,0
random-32-32-20,2,60,BBMOCBS_pex,5,82,194,,,0
random-32-32-20,2,60,BBMOCBS_eps,5,82,194,,,0
random-32-32-20,3,60,BBMOCBS_k1,5,131,347,131,347,1
random-32-32-20,3,60,BBMOCBS_k5,5,131,347,131,336,0
random-32-32-20,3,60,BBMOCBS_k10,5,131,347,131,336,0
random-32-32-20,3,60,BBMOCBS_pex,5,131,347,,,0
random-32-32-20,3,60,BBMOCBS_eps,5,131,347,,,0
random-32-32-20,4,60,BBMOCBS_k1,5,147,386,147,386,1
random-32-32-20,4,60,BBMOCBS_k5,5,147,386,147,373,0
random-32-32-20,4,60,BBMOCBS_k10,5,147,386,147,368,0
random-32-32-20,4,60,BBMOCBS_pex,5,147,386,,,0
random-32-32-20,4,60,BBMOCBS_eps,5,147,386,,,0
random-32-32-20,5,60,BBMOCBS_k1,5,128,330,128,330,1
random-32-32-20,5,60,BBMOCBS_k5,5,128,330,126,324,0
random-32-32-20,5,60,BBMOCBS_k10,5,128,330,126,324,0
random-32-32-20,5,60,BBMOCBS_pex,5,128,330,,,0
random-32-32-20,5,60,BBMOCBS_eps,5,128,330,,,0
random-32-32-20,6,60,BBMOCBS_k1,5,120,302,120,302,1
random-32-32-20,6,60,BBMOCBS_k5,5,120,302,120,292,0
random-32-32-20,6,60,BBMOCBS_k10,5,120,302,120,292,0
random-32-32-20,6,60,BBMOCBS_pex,5,120,302,,,0
random-32-32-20,6,60,BBMOCBS_eps,5,120,302,,,0
random-32-32-20,7,60,BBMOCBS_k1,5,124,318,124,318,1
random-32-32-20,7,60,BBMOCBS_k5,5,124,318,124,319,0
random-32-32-20,7,60,BBMOCBS_k10,5,124,318,124,320,0
random-32-32-20,7,60,BBMOCBS_pex,5,124,318,,,0
random-32-32-20,7,60,BBMOCBS_eps,5,124,318,,,0
random-32-32-20,8,60,BBMOCBS_k1,5,106,275,106,275,1
random-32-32-20,8,60,BBMOCBS_k5,5,106,275,106,260,0
random-32-32-20,8,60,BBMOCBS_k10,5,106,275,106,260,0
random-32-32-20,8,60,BBMOCBS_pex,5,106,275,,,0
random-32-32-20,8,60,BBMOCBS_eps,5,106,275,,,0
random-32-32-20,9,60,BBMOCBS_k1,5,66,173,66,173,1
random-32-32-20,9,60,BBMOCBS_k5,5,66,173,66,173,0
random-32-32-20,9,60,BBMOCBS_k10,5,66,173,66,173,0
random-32-32-20,9,60,BBMOCBS_pex,5,66,173,,,0
random-32-32-20,9,60,BBMOCBS_eps,5,66,173,,,0
random-32-32-20,10,60,BBMOCBS_k1,5,112,318,112,318,1
random-32-32-20,10,60,BBMOCBS_k5,5,112,318,112,300,0
random-32-32-20,10,60,BBMOCBS_k10,5,112,318,112,300,0
random-32-32-20,10,60,BBMOCBS_pex,5,112,318,,,0
random-32-32-20,10,60,BBMOCBS_eps,5,112,318,,,0
random-32-32-20,11,60,BBMOCBS_k1,5,137,351,137,351,1
random-32-32-20,11,60,BBMOCBS_k5,5,137,351,136,344,0
random-32-32-20,11,60,BBMOCBS_k10,5,137,351,136,346,0
random-32-32-20,11,60,BBMOCBS_pex,5,137,351,,,0
random-32-32-20,11,60,BBMOCBS_eps,5,137,351,,,0
random-32-32-20,12,60,BBMOCBS_k1,5,115,264,115,264,1
random-32-32-20,12,60,BBMOCBS_k5,5,115,264,115,256,0
random-32-32-20,12,60,BBMOCBS_k10,5,115,264,115,256,0
random-32-32-20,12,60,BBMOCBS_pex,5,115,264,,,0
random-32-32-20,12,60,BBMOCBS_eps,5,115,264,,,0
random-32-32-20,13,60,BBMOCBS_k1,5,92,231,92,231,1
random-32-32-20,13,60,BBMOCBS_k5,5,92,231,92,220,0
random-32-32-20,13,60,BBMOCBS_k10,5,92,231,92,220,0
random-32-32-20,13,60,BBMOCBS_pex,5,92,231,,,0
random-32-32-20,13,60,BBMOCBS_eps,5,92,231,,,0
random-32-32-20,14,60,BBMOCBS_k1,5,91,241,91,241,1
random-32-32-20,14,60,BBMOCBS_k5,5,91,241,91,230,0
random-32-32-20,14,60,BBMOCBS_k10,5,91,241,91,228,0
random-32-32-20,14,60,BBMOCBS_pex,5,91,241,,,0
random-32-32-20,14,60,BBMOCBS_eps,5,91,241,,,0
random-32-32-20,15,60,BBMOCBS_k1,5,57,150,57,150,1
random-32-32-20,15,60,BBMOCBS_k5,5,57,150,57,148,0
random-32-32-20,15,60,BBMOCBS_k10,5,57,150,57,148,0
random-32-32-20,15,60,BBMOCBS_pex,5,57,150,,,0
random-32-32-20,15,60,BBMOCBS_eps,5,57,150,,,0
random-32-32-20,16,60,BBMOCBS_k1,5,114,276,114,276,1
random-32-32-20,16,60,BBMOCBS_k5,5,114,276,114,251,0
random-32-32-20,16,60,BBMOCBS_k10,5,114,276,114,252,0
random-32-32-20,16,60,BBMOCBS_pex,5,114,276,,,0
random-32-32-20,16,60,BBMOCBS_eps,5,114,276,,,0
random-32-32-20,17,60,BBMOCBS_k1,5,128,328,128,328,1
random-32-32-20,17,60,BBMOCBS_k5,5,128,328,128,316,0
random-32-32-20,17,60,BBMOCBS_k10,5,128,328,128,316,0
random-32-32-20,17,60,BBMOCBS_pex,5,128,328,,,0
random-32-32-20,17,60,BBMOCBS_eps,5,128,328,,,0
random-32-32-20,18,60,BBMOCBS_k1,5,151,384,151,384,1
random-32-32-20,18,60,BBMOCBS_k5,5,151,384,151,375,0
random-32-32-20,18,60,BBMOCBS_k10,5,151,384,151,375,0
random-32-32-20,18,60,BBMOCBS_pex,5,151,384,,,0
random-32-32-20,18,60,BBMOCBS_eps,5,151,384,,,0
random-32-32-20,19,60,BBMOCBS_k1,5,129,352,129,352,1
random-32-32-20,19,60,BBMOCBS_k5,5,129,352,129,340,0
random-32-32-20,19,60,BBMOCBS_k10,5,129,352,129,340,0
random-32-32-20,19,60,BBMOCBS_pex,5,129,352,,,0
random-32-32-20,19,60,BBMOCBS_eps,5,129,352,,,0
random-32-32-20,20,60,BBMOCBS_k1,5,146,396,146,396,1
random-32-32-20,20,60,BBMOCBS_k5,5,146,396,146,379,0
random-32-32-20,20,60,BBMOCBS_k10,5,146,396,146,368,0
random-32-32-20,20,60,BBMOCBS_pex,5,146,396,,,0
