map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
random-64-64-20,1,30,BBMOCBS_k1,5,217,527,217,527,1
random-64-64-20,1,30,BBMOCBS_k5,5,217,527,217,527,1
random-64-64-20,1,30,BBMOCBS_k10,5,217,527,217,527,1
random-64-64-20,1,30,BBMOCBS_pex,5,217,527,,,0
random-64-64-20,1,30,BBMOCBS_eps,5,217,527,,,0
random-64-64-20,2,30,BBMOCBS_k1,5,261,662,261,662,1
random-64-64-20,2,30,BBMOCBS_k5,5,261,662,261,662,1
random-64-64-20,2,30,BBMOCBS_k10,5,261,662,261,662,1
random-64-64-20,2,30,BBMOCBS_pex,5,261,662,,,0
random-64-64-20,2,30,BBMOCBS_eps,5,261,662,,,0
random-64-64-20,3,30,BBMOCBS_k1,5,243,555,243,555,1
random-64-64-20,3,30,BBMOCBS_k5,5,243,555,243,561,0
random-64-64-20,3,30,BBMOCBS_k10,5,243,555,243,561,0
random-64-64-20,3,30,BBMOCBS_pex,5,243,555,,,0
random-64-64-20,3,30,BBMOCBS_eps,5,243,555,,,0
random-64-64-20,4,30,BBMOCBS_k1,5,270,612,270,612,1
random-64-64-20,4,30,BBMOCBS_k5,5,270,612,270,612,1
random-64-64-20,4,30,BBMOCBS_k10,5,270,612,270,612,1
random-64-64-20,4,30,BBMOCBS_pex,5,270,612,,,0
random-64-64-20,4,30,BBMOCBS_eps,5,270,612,,,0
random-64-64-20,5,30,BBMOCBS_k1,5,116,292,116,292,1
random-64-64-20,5,30,BBMOCBS_k5,5,116,292,116,292,1
random-64-64-20,5,30,BBMOCBS_k10,5,116,292,116,292,1
random-64-64-20,5,30,BBMOCBS_pex,5,116,292,,,0
random-64-64-20,5,30,BBMOCBS_eps,5,116,292,,,0
random-64-64-20,6,30,BBMOCBS_k1,5,177,453,177,453,1
random-64-64-20,6,30,BBMOCBS_k5,5,177,453,177,454,0
random-64-64-20,6,30,BBMOCBS_k10,5,177,453,177,454,0
random-64-64-20,6,30,BBMOCBS_pex,5,177,453,,,0
random-64-64-20,6,30,BBMOCBS_eps,5,177,453,,,0
random-64-64-20,7,30,BBMOCBS_k1,5,214,519,214,519,1
random-64-64-20,7,30,BBMOCBS_k5,5,214,519,214,519,1
random-64-64-20,7,30,BBMOCBS_k10,5,214,519,214,519,1
random-64-64-20,7,30,BBMOCBS_pex,5,214,519,,,0
random-64-64-20,7,30,BBMOCBS_eps,5,214,519,,,0
random-64-64-20,8,30,BBMOCBS_k1,5,263,622,263,622,1
random-64-64-20,8,30,BBMOCBS_k5,5,263,622,261,626,0
random-64-64-20,8,30,BBMOCBS_k10,5,263,622,261,626,0
random-64-64-20,8,30,BBMOCBS_pex,5,263,622,,,0
random-64-64-20,8,30,BBMOCBS_eps,5,263,622,,,0
random-64-64-20,9,30,BBMOCBS_k1,5,263,655,263,655,1
random-64-64-20,9,30,BBMOCBS_k5,5,263,655,263,655,1
random-64-64-20,9,30,BBMOCBS_k10,5,263,655,263,655,1
random-64-64-20,9,30,BBMOCBS_pex,5,263,655,,,0
random-64-64-20,9,30,BBMOCBS_eps,5,263,655,,,0
random-64-64-20,10,30,BBMOCBS_k1,5,248,625,248,625,1
random-64-64-20,10,30,BBMOCBS_k5,5,248,625,248,625,1
random-64-64-20,10,30,BBMOCBS_k10,5,248,625,248,625,1
random-64-64-20,10,30,BBMOCBS_pex,5,248,625,,,0
random-64-64-20,10,30,BBMOCBS_eps,5,248,625,,,0
random-64-64-20,11,30,BBMOCBS_k1,5,140,335,140,335,1
random-64-64-20,11,30,BBMOCBS_k5,5,140,335,140,335,1
random-64-64-20,11,30,BBMOCBS_k10,5,140,335,140,335,1
random-64-64-20,11,30,BBMOCBS_pex,5,140,335,,,0
random-64-64-20,11,30,BBMOCBS_eps,5,140,335,,,0
random-64-64-20,12,30,BBMOCBS_k1,5,327,740,327,740,1
random-64-64-20,12,30,BBMOCBS_k5,5,327,740,327,756,0
random-64-64-20,12,30,BBMOCBS_k10,5,327,740,327,758,0
random-64-64-20,12,30,BBMOCBS_pex,5,327,740,,,0
random-64-64-20,12,30,BBMOCBS_eps,5,327,740,,,0
random-64-64-20,13,30,BBMOCBS_k1,5,212,511,212,511,1
random-64-64-20,13,30,BBMOCBS_k5,5,212,511,212,511,1
random-64-64-20,13,30,BBMOCBS_k10,5,212,511,212,511,1
random-64-64-20,13,30,BBMOCBS_pex,5,212,511,,,0
random-64-64-20,13,30,BBMOCBS_eps,5,212,511,,,0
random-64-64-20,14,30,BBMOCBS_k1,5,209,497,209,497,1
random-64-64-20,14,30,BBMOCBS_k5,5,209,497,209,497,1
random-64-64-20,14,30,BBMOCBS_k10,5,209,497,209,497,1
random-64-64-20,14,30,BBMOCBS_pex,5,209,497,,,0
