map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
empty-32-32,1,1,BBMOCBS_k1,5,89,184,89,184,1
empty-32-32,1,1,BBMOCBS_k5,5,89,184,89,184,0
empty-32-32,1,1,BBMOCBS_k10,5,89,184,89,182,0
empty-32-32,1,1,BBMOCBS_pex,5,89,184,,,0
empty-32-32,1,1,BBMOCBS_eps,5,89,184,,,0
empty-32-32,2,1,BBMOCBS_k1,5,106,223,106,223,1
empty-32-32,2,1,BBMOCBS_k5,5,106,223,106,208,0
empty-32-32,2,1,BBMOCBS_k10,5,106,223,106,208,0
empty-32-32,2,1,BBMOCBS_pex,5,106,223,,,0
empty-32-32,2,1,BBMOCBS_eps,5,106,223,,,0
empty-32-32,3,1,BBMOCBS_k1,5,72,170,72,170,1
empty-32-32,3,1,BBMOCBS_k5,5,72,170,70,164,0
empty-32-32,3,1,BBMOCBS_k10,5,72,170,70,162,0
empty-32-32,3,1,BBMOCBS_pex,5,72,170,,,0
empty-32-32,3,1,BBMOCBS_eps,5,72,170,,,0
empty-32-32,4,1,BBMOCBS_k1,5,87,202,87,202,1
empty-32-32,4,1,BBMOCBS_k5,5,87,202,87,195,0
empty-32-32,4,1,BBMOCBS_k10,5,87,202,87,195,0
empty-32-32,4,1,BBMOCBS_pex,5,87,202,,,0
empty-32-32,4,1,BBMOCBS_eps,5,87,202,,,0
empty-32-32,5,1,BBMOCBS_k1,5,132,303,132,303,1
empty-32-32,5,1,BBMOCBS_k5,5,132,303,132,277,0
empty-32-32,5,1,BBMOCBS_k10,5,132,303,132,274,0
empty-32-32,5,1,BBMOCBS_pex,5,132,303,,,0
empty-32-32,5,1,BBMOCBS_eps,5,132,303,,,0
empty-32-32,6,1,BBMOCBS_k1,5,72,164,72,164,1
empty-32-32,6,1,BBMOCBS_k5,5,72,164,72,156,0
empty-32-32,6,1,BBMOCBS_k10,5,72,164,72,156,0
empty-32-32,6,1,BBMOCBS_pex,5,72,164,,,0
empty-32-32,6,1,BBMOCBS_eps,5,72,164,,,0
empty-32-32,7,1,BBMOCBS_k1,5,,,,,0
empty-32-32,7,1,BBMOCBS_k5,5,,,,,0
empty-32-32,7,1,BBMOCBS_k10,5,,,,,0
empty-32-32,7,1,BBMOCBS_pex,5,,,,,0
empty-32-32,7,1,BBMOCBS_eps,5,,,,,0
empty-32-32,8,1,BBMOCBS_k1,5,70,173,70,173,1
empty-32-32,8,1,BBMOCBS_k5,5,70,173,68,168,0
