map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
empty-32-32,1,10,BBMOCBS_k1,5,89,182,89,182,1
empty-32-32,1,10,BBMOCBS_k5,5,89,182,89,182,1
empty-32-32,1,10,BBMOCBS_k10,5,89,182,89,182,1
empty-32-32,1,10,BBMOCBS_pex,5,89,182,,,0
empty-32-32,1,10,BBMOCBS_eps,5,89,182,,,0
empty-32-32,2,10,BBMOCBS_k1,5,106,209,106,209,1
empty-32-32,2,10,BBMOCBS_k5,5,106,209,106,209,1
empty-32-32,2,10,BBMOCBS_k10,5,106,209,106,209,1
empty-32-32,2,10,BBMOCBS_pex,5,106,209,,,0
empty-32-32,2,10,BBMOCBS_eps,5,106,209,,,0
empty-32-32,3,10,BBMOCBS_k1,5,70,164,70,164,1
empty-32-32,3,10,BBMOCBS_k5,5,70,164,70,164,1
empty-32-32,3,10,BBMOCBS_k10,5,70,164,70,164,1
empty-32-32,3,10,BBMOCBS_pex,5,70,164,,,0
empty-32-32,3,10,BBMOCBS_eps,5,70,164,,,0
empty-32-32,4,10,BBMOCBS_k1,5,87,195,87,195,1
empty-32-32,4,10,BBMOCBS_k5,5,87,195,87,195,1
empty-32-32,4,10,BBMOCBS_k10,5,87,195,87,195,1
empty-32-32,4,10,BBMOCBS_pex,5,87,195,,,0
empty-32-32,4,10,BBMOCBS_eps,5,87,195,,,0
empty-32-32,5,10,BBMOCBS_k1,5,132,280,132,280,1
empty-32-32,5,10,BBMOCBS_k5,5,132,280,132,280,1
empty-32-32,5,10,BBMOCBS_k10,5,132,280,132,280,1
empty-32-32,5,10,BBMOCBS_pex,5,132,280,,,0
empty-32-32,5,10,BBMOCBS_eps,5,132,280,,,0
empty-32-32,6,10,BBMOCBS_k1,5,72,157,72,157,1
empty-32-32,6,10,BBMOCBS_k5,5,72,157,72,157,1
empty-32-32,6,10,BBMOCBS_k10,5,72,157,72,157,1
empty-32-32,6,10,BBMOCBS_pex,5,72,157,,,0
empty-32-32,6,10,BBMOCBS_eps,5,72,157,,,0
empty-32-32,7,10,BBMOCBS_k1,5,129,266,129,266,1
empty-32-32,7,10,BBMOCBS_k5,5,129,266,129,266,1
empty-32-32,7,10,BBMOCBS_k10,5,129,266,129,266,1
empty-32-32,7,10,BBMOCBS_pex,5,129,266,,,0
empty-32-32,7,10,BBMOCBS_eps,5,129,266,,,0
empty-32-32,8,10,BBMOCBS_k1,5,68,168,68,168,1
empty-32-32,8,10,BBMOCBS_k5,5,68,168,68,168,1
empty-32-32,8,10,BBMOCBS_k10,5,68,168,68,168,1
empty-32-32,8,10,BBMOCBS_pex,5,68,168,,,0
empty-32-32,8,10,BBMOCBS_eps,5,68,168,,,0
empty-32-32,9,10,BBMOCBS_k1,5,126,289,126,289,1
empty-32-32,9,10,BBMOCBS_k5,5,126,289,126,289,1
empty-32-32,9,10,BBMOCBS_k10,5,126,289,126,289,1
empty-32-32,9,10,BBMOCBS_pex,5,126,289,,,0
empty-32-32,9,10,BBMOCBS_eps,5,126,289,,,0
empty-32-32,10,10,BBMOCBS_k1,5,122,268,122,268,1
empty-32-32,10,10,BBMOCBS_k5,5,122,268,122,268,1
empty-32-32,10,10,BBMOCBS_k10,5,122,268,122,269,0
empty-32-32,10,10,BBMOCBS_pex,5,122,268,,,0
empty-32-32,10,10,BBMOCBS_eps,5,122,268,,,0
empty-32-32,11,10,BBMOCBS_k1,5,97,220,97,220,1
empty-32-32,11,10,BBMOCBS_k5,5,97,220,97,220,1
empty-32-32,11,10,BBMOCBS_k10,5,97,220,97,220,1
empty-32-32,11,10,BBMOCBS_pex,5,97,220,,,0
empty-32-32,11,10,BBMOCBS_eps,5,97,220,,,0
empty-32-32,12,10,BBMOCBS_k1,5,138,305,138,305,1
empty-32-32,12,10,BBMOCBS_k5,5,138,305,138,305,1
empty-32-32,12,10,BBMOCBS_k10,5,138,305,138,305,1
empty-32-32,12,10,BBMOCBS_pex,5,138,305,,,0
empty-32-32,12,10,BBMOCBS_eps,5,138,305,,,0
empty-32-32,13,10,BBMOCBS_k1,5,96,215,96,215,1
empty-32-32,13,10,BBMOCBS_k5,5,96,215,96,215,1
empty-32-32,13,10,BBMOCBS_k10,5,96,215,96,215,1
empty-32-32,13,10,BBMOCBS_pex,5,96,215,,,0
empty-32-32,13,10,BBMOCBS_eps,5,96,215,,,0
empty-32-32,14,10,BBMOCBS_k1,5,134,289,134,289,1
empty-32-32,14,10,BBMOCBS_k5,5,134,289,134,289,1
empty-32-32,14,10,BBMOCBS_k10,5,134,289,134,289,1
empty-32-32,14,10,BBMOCBS_pex,5,134,289,,,0
empty-32-32,14,10,BBMOCBS_eps,5,134,289,,,0
empty-32-32,15,10,BBMOCBS_k1,5,96,221,96,221,1
empty-32-32,15,10,BBMOCBS_k5,5,96,221,96,221,1
empty-32-32,15,10,BBMOCBS_k10,5,96,221,96,221,1
empty-32-32,15,10,BBMOCBS_pex,5,96,221,,,0
empty-32-32,15,10,BBMOCBS_eps,5,96,221,,,0
empty-32-32,16,10,BBMOCBS_k1,5,99,213,99,213,1
empty-32-32,16,10,BBMOCBS_k5,5,99,213,99,213,1
empty-32-32,16,10,BBMOCBS_k10,5,99,213,99,213,1
empty-32-32,16,10,BBMOCBS_pex,5,99,213,,,0
empty-32-32,16,10,BBMOCBS_eps,5,99,213,,,0
empty-32-32,17,10,BBMOCBS_k1,5,89,190,89,190,1
empty-32-32,17,10,BBMOCBS_k5,5,89,190,89,190,1
empty-32-32,17,10,BBMOCBS_k10,5,89,190,89,190,1
empty-32-32,17,10,BBMOCBS_pex,5,89,190,,,0
empty-32-32,17,10,BBMOCBS_eps,5,89,190,,,0
empty-32-32,18,10,BBMOCBS_k1,5,136,280,136,280,1
empty-32-32,18,10,BBMOCBS_k5,5,136,280,136,280,1
empty-32-32,18,10,BBMOCBS_k10,5,136,280,136,280,1
empty-32-32,18,10,BBMOCBS_pex,5,136,280,,,0
empty-32-32,18,10,BBMOCBS_eps,5,136,280,,,0
empty-32-32,19,10,BBMOCBS_k1,5,94,219,94,219,1
empty-32-32,19,10,BBMOCBS_k5,5,94,219,94,219,1
empty-32-32,19,10,BBMOCBS_k10,5,94,219,94,219,1
empty-32-32,19,10,BBMOCBS_pex,5,94,219,,,0
empty-32-32,19,10,BBMOCBS_eps,5,94,219,,,0
empty-32-32,20,10,BBMOCBS_k1,5,85,197,85,197,1
empty-32-32,20,10,BBMOCBS_k5,5,85,197,83,199,0
empty-32-32,20,10,BBMOCBS_k10,5,85,197,83,199,0
empty-32-32,20,10,BBMOCBS_pex,5,85,197,,,0
empty-32-32,20,10,BBMOCBS_eps,5,85,197,,,0
empty-32-32,21,10,BBMOCBS_k1,5,118,292,118,292,1
empty-32-32,21,10,BBMOCBS_k5,5,118,292,118,292,1
empty-32-32,21,10,BBMOCBS_k10,5,118,292,118,292,1
empty-32-32,21,10,BBMOCBS_pex,5,118,292,,,0
empty-32-32,21,10,BBMOCBS_eps,5,118,292,,,0
empty-32-32,22,10,BBMOCBS_k1,5,92,201,92,201,1
empty-32-32,22,10,BBMOCBS_k5,5,92,201,92,201,1
empty-32-32,22,10,BBMOCBS_k10,5,92,201,92,201,1
empty-32-32,22,10,BBMOCBS_pex,5,92,201,,,0
empty-32-32,22,10,BBMOCBS_eps,5,92,201,,,0
empty-32-32,23,10,BBMOCBS_k1,5,103,206,103,206,1
empty-32-32,23,10,BBMOCBS_k5,5,103,206,103,206,1
empty-32-32,23,10,BBMOCBS_k10,5,103,206,103,206,1
empty-32-32,23,10,BBMOCBS_pex,5,103,206,,,0
empty-32-32,23,10,BBMOCBS_eps,5,103,206,,,0
empty-32-32,24,10,BBMOCBS_k1,5,65,137,65,137,1
empty-32-32,24,10,BBMOCBS_k5,5,65,137,65,137,1
empty-32-32,24,10,BBMOCBS_k10,5,65,137,65,137,1
empty-32-32,24,10,BBMOCBS_pex,5,65,137,,,0
empty-32-32,24,10,BBMOCBS_eps,5,65,137,,,0
empty-32-32,25,10,BBMOCBS_k1,5,89,182,89,182,1
empty-32-32,25,10,BBMOCBS_k5,5,89,182,89,182,1
empty-32-32,25,10,BBMOCBS_k10,5,89,182,89,182,1
empty-32-32,25,10,BBMOCBS_pex,5,89,182,,,0
empty-32-32,25,10,BBMOCBS_eps,5,89,182,,,0
