map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
random-64-64-20,1,5,BBMOCBS_k1,5,,,,,0
random-64-64-20,1,5,BBMOCBS_k5,5,,,,,0
random-64-64-20,1,5,BBMOCBS_k10,5,,,,,0
random-64-64-20,1,5,BBMOCBS_pex,5,,,,,0
random-64-64-20,1,5,BBMOCBS_eps,5,,,,,0
random-64-64-20,2,5,BBMOCBS_k1,5,261,690,261,690,1
random-64-64-20,2,5,BBMOCBS_k5,5,261,690,261,657,0
random-64-64-20,2,5,BBMOCBS_k10,5,261,690,261,657,0
random-64-64-20,2,5,BBMOCBS_pex,5,261,690,,,0
random-64-64-20,2,5,BBMOCBS_eps,5,261,690,,,0
random-64-64-20,3,5,BBMOCBS_k1,5,244,593,244,593,0
random-64-64-20,3,5,BBMOCBS_k5,5,244,593,243,575,0
random-64-64-20,3,5,BBMOCBS_k10,5,244,593,243,593,0
random-64-64-20,3,5,BBMOCBS_pex,5,244,593,,,0
random-64-64-20,3,5,BBMOCBS_eps,5,244,593,,,0
random-64-64-20,4,5,BBMOCBS_k1,5,,,,,0
random-64-64-20,4,5,BBMOCBS_k5,5,,,,,0
random-64-64-20,4,5,BBMOCBS_k10,5,,,,,0
random-64-64-20,4,5,BBMOCBS_pex,5,,,,,0
random-64-64-20,4,5,BBMOCBS_eps,5,,,,,0
random-64-64-20,5,5,BBMOCBS_k1,5,116,297,116,297,1
random-64-64-20,5,5,BBMOCBS_k5,5,116,297,116,292,0
random-64-64-20,5,5,BBMOCBS_k10,5,116,297,116,292,0
random-64-64-20,5,5,BBMOCBS_pex,5,116,297,,,0
random-64-64-20,5,5,BBMOCBS_eps,5,116,297,,,0
random-64-64-20,6,5,BBMOCBS_k1,5,177,460,177,460,1
random-64-64-20,6,5,BBMOCBS_k5,5,177,460,177,450,0
random-64-64-20,6,5,BBMOCBS_k10,5,177,460,177,452,0
random-64-64-20,6,5,BBMOCBS_pex,5,177,460,,,0
random-64-64-20,6,5,BBMOCBS_eps,5,177,460,,,0
random-64-64-20,7,5,BBMOCBS_k1,5,214,533,214,533,1
random-64-64-20,7,5,BBMOCBS_k5,5,214,533,214,519,0
random-64-64-20,7,5,BBMOCBS_k10,5,214,533,214,519,0
random-64-64-20,7,5,BBMOCBS_pex,5,214,533,,,0
random-64-64-20,7,5,BBMOCBS_eps,5,214,533,,,0
random-64-64-20,8,5,BBMOCBS_k1,5,263,675,263,675,1
random-64-64-20,8,5,BBMOCBS_k5,5,263,675,261,613,0
random-64-64-20,8,5,BBMOCBS_k10,5,263,675,261,618,0
random-64-64-20,8,5,BBMOCBS_pex,5,263,675,,,0
random-64-64-20,8,5,BBMOCBS_eps,5,263,675,,,0
random-64-64-20,9,5,BBMOCBS_k1,5,263,679,263,679,1
random-64-64-20,9,5,BBMOCBS_k5,5,263,679,263,640,0
random-64-64-20,9,5,BBMOCBS_k10,5,263,679,263,640,0
random-64-64-20,9,5,BBMOCBS_pex,5,263,679,,,0
random-64-64-20,9,5,BBMOCBS_eps,5,263,679,,,0
random-64-64-20,10,5,BBMOCBS_k1,5,,,,,0
random-64-64-20,10,5,BBMOCBS_k5,5,,,,,0
random-64-64-20,10,5,BBMOCBS_k10,5,,,,,0
random-64-64-20,10,5,BBMOCBS_pex,5,,,,,0
random-64-64-20,10,5,BBMOCBS_eps,5,,,,,0
random-64-64-20,11,5,BBMOCBS_k1,5,140,351,140,351,1
random-64-64-20,11,5,BBMOCBS_k5,5,140,351,140,335,0
random-64-64-20,11,5,BBMOCBS_k10,5,140,351,140,335,0
random-64-64-20,11,5,BBMOCBS_pex,5,140,351,,,0
random-64-64-20,11,5,BBMOCBS_eps,5,140,351,,,0
random-64-64-20,12,5,BBMOCBS_k1,5,,,,,0
random-64-64-20,12,5,BBMOCBS_k5,5,,,,,0
random-64-64-20,12,5,BBMOCBS_k10,5,,,,,0
random-64-64-20,12,5,BBMOCBS_pex,5,,,,,0
random-64-64-20,12,5,BBMOCBS_eps,5,,,,,0
random-64-64-20,13,5,BBMOCBS_k1,5,214,521,214,521,1
random-64-64-20,13,5,BBMOCBS_k5,5,214,521,212,510,0
random-64-64-20,13,5,BBMOCBS_k10,5,214,521,212,511,0
random-64-64-20,13,5,BBMOCBS_pex,5,214,521,,,0
random-64-64-20,13,5,BBMOCBS_eps,5,214,521,,,0
random-64-64-20,14,5,BBMOCBS_k1,5,209,514,209,514,1
random-64-64-20,14,5,BBMOCBS_k5,5,209,514,208,497,0
random-64-64-20,14,5,BBMOCBS_k10,5,209,514,208,496,0
random-64-64-20,14,5,BBMOCBS_pex,5,209,514,,,0
random-64-64-20,14,5,BBMOCBS_eps,5,209,514,,,0
random-64-64-20,15,5,BBMOCBS_k1,5,215,549,215,549,1
random-64-64-20,15,5,BBMOCBS_k5,5,215,549,215,525,0
random-64-64-20,15,5,BBMOCBS_k10,5,215,549,215,515,0
random-64-64-20,15,5,BBMOCBS_pex,5,215,549,,,0
random-64-64-20,15,5,BBMOCBS_eps,5,215,549,,,0
random-64-64-20,16,5,BBMOCBS_k1,5,220,556,220,556,1
random-64-64-20,16,5,BBMOCBS_k5,5,220,556,220,522,0
random-64-64-20,16,5,BBMOCBS_k10,5,220,556,220,521,0
random-64-64-20,16,5,BBMOCBS_pex,5,220,556,,,0
random-64-64-20,16,5,BBMOCBS_eps,5,220,556,,,0
random-64-64-20,17,5,BBMOCBS_k1,5,87,215,87,215,1
random-64-64-20,17,5,BBMOCBS_k5,5,87,215,87,206,0
random-64-64-20,17,5,BBMOCBS_k10,5,87,215,87,205,0
random-64-64-20,17,5,BBMOCBS_pex,5,87,215,,,0
random-64-64-20,17,5,BBMOCBS_eps,5,87,215,,,0
random-64-64-20,18,5,BBMOCBS_k1,5,249,598,249,598,1
